loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,lr
1.6158528327941895,0.48085713386535645,0.5049505233764648,0.43714284896850586,1.6052652597427368,0.3863636255264282,1.0,0.001336898421868682,0.001
1.1204603910446167,0.5682857036590576,0.622509241104126,0.4819999933242798,2.221695899963379,0.25,0.25,0.25,0.001
0.9930461645126343,0.6065714359283447,0.6600294709205627,0.5114285945892334,1.8934053182601929,0.3743315637111664,0.35391566157341003,0.3141711354255676,0.001
0.8959433436393738,0.647428572177887,0.6959435343742371,0.5637142658233643,3.607285499572754,0.25,0.25,0.25,0.001
0.8761677145957947,0.6451428532600403,0.6977809071540833,0.5659999847412109,8.531486511230469,0.25,0.25,0.25,0.001
0.8824917674064636,0.6520000100135803,0.6961512565612793,0.5891428589820862,2.9805781841278076,0.4264705777168274,0.42934051156044006,0.4264705777168274,0.001
0.8559090495109558,0.6677142977714539,0.7178268432617188,0.6039999723434448,2.858320713043213,0.4224599003791809,0.42702701687812805,0.4224599003791809,0.00020000001
0.8005671501159668,0.6774285435676575,0.7231137156486511,0.6051428318023682,2.731994867324829,0.4318181872367859,0.4326145648956299,0.42914438247680664,0.00020000001
0.7871101498603821,0.6888571381568909,0.7303776741027832,0.6354285478591919,2.6234989166259766,0.3970588147640228,0.3991881012916565,0.39438503980636597,0.00020000001
0.7728455662727356,0.6911428570747375,0.733091413974762,0.6348571181297302,2.748457908630371,0.45053476095199585,0.454054057598114,0.4491978585720062,0.00020000001
0.7247220277786255,0.7074285745620728,0.7492547035217285,0.6462857127189636,2.703307867050171,0.3997326195240021,0.4010840058326721,0.3957219123840332,0.00020000001
