rank,architecture,learning_rate,optimizer,dropout_rate,best_train_accuracy,best_validation_accuracy,best_validation_loss,gap_train_val_accuracy,epochs_ran,training_time,history_file,config_label
1,B,0.001,Adam,0.7,0.8371428847312927,0.8114973306655884,0.5089746117591858,0.025645554065704346,37,1376.8417082290398,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_B_lr_0p001_opt_adam_dropout_0p7.csv,Arch B | LR 0.001 | Opt Adam | Drop 0.7
2,A,0.001,Adam,0.5,0.8214285969734192,0.7366310358047485,0.6636834144592285,0.08479756116867065,33,1223.6405376609764,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_A_lr_0p001_opt_adam_dropout_0p5.csv,Arch A | LR 0.001 | Opt Adam | Drop 0.5
3,B,0.001,Adagrad,0.5,0.6148571372032166,0.4625668525695801,1.2437270879745483,0.15229028463363647,15,558.7140837599873,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_B_lr_0p001_opt_adagrad_dropout_0p5.csv,Arch B | LR 0.001 | Opt Adagrad | Drop 0.5
4,A,0.001,Adam,0.7,0.6862857341766357,0.43983957171440125,1.4207780361175537,0.2464461624622345,7,264.04786813404644,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_A_lr_0p001_opt_adam_dropout_0p7.csv,Arch A | LR 0.001 | Opt Adam | Drop 0.7
5,B,0.001,Adagrad,0.7,0.553428590297699,0.42513367533683777,1.3563430309295654,0.1282949149608612,10,380.2738077190006,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_B_lr_0p001_opt_adagrad_dropout_0p7.csv,Arch B | LR 0.001 | Opt Adagrad | Drop 0.7
6,B,0.001,Adam,0.5,0.6837142705917358,0.4171122908592224,1.3618848323822021,0.2666019797325134,7,266.9325084830052,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_B_lr_0p001_opt_adam_dropout_0p5.csv,Arch B | LR 0.001 | Opt Adam | Drop 0.5
7,A,0.0001,Adam,0.7,0.6174286007881165,0.4157753884792328,1.3702960014343262,0.20165321230888367,7,262.0787980949972,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_A_lr_0p0001_opt_adam_dropout_0p7.csv,Arch A | LR 0.0001 | Opt Adam | Drop 0.7
8,A,0.0001,Adagrad,0.5,0.5174285769462585,0.3850267231464386,1.40742027759552,0.13240185379981995,7,262.6152728389716,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_A_lr_0p0001_opt_adagrad_dropout_0p5.csv,Arch A | LR 0.0001 | Opt Adagrad | Drop 0.5
9,A,0.0001,Adam,0.5,0.6614285707473755,0.3756684362888336,1.9572232961654663,0.28576013445854187,7,260.90991556603694,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_A_lr_0p0001_opt_adam_dropout_0p5.csv,Arch A | LR 0.0001 | Opt Adam | Drop 0.5
10,A,0.0001,Adagrad,0.7,0.45971429347991943,0.3342246115207672,1.3944121599197388,0.12548968195915222,7,259.4553344810265,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_A_lr_0p0001_opt_adagrad_dropout_0p7.csv,Arch A | LR 0.0001 | Opt Adagrad | Drop 0.7
11,B,0.0001,Adam,0.5,0.6245714426040649,0.3141711354255676,1.454418659210205,0.3104003071784973,7,264.8231012580218,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_B_lr_0p0001_opt_adam_dropout_0p5.csv,Arch B | LR 0.0001 | Opt Adam | Drop 0.5
12,B,0.0001,Adagrad,0.7,0.39828571677207947,0.30481284856796265,1.3959310054779053,0.09347286820411682,7,262.3596846149885,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_B_lr_0p0001_opt_adagrad_dropout_0p7.csv,Arch B | LR 0.0001 | Opt Adagrad | Drop 0.7
13,A,0.001,Adagrad,0.5,0.6140000224113464,0.2647058963775635,1.5226162672042847,0.34929412603378296,7,261.4926621460472,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_A_lr_0p001_opt_adagrad_dropout_0p5.csv,Arch A | LR 0.001 | Opt Adagrad | Drop 0.5
14,B,0.0001,Adagrad,0.5,0.40314286947250366,0.25267380475997925,1.4318618774414062,0.15046906471252441,7,265.96289091801737,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_B_lr_0p0001_opt_adagrad_dropout_0p5.csv,Arch B | LR 0.0001 | Opt Adagrad | Drop 0.5
15,A,0.001,Adagrad,0.7,0.5834285616874695,0.25,1.4918441772460938,0.3334285616874695,7,265.8312195590115,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_A_lr_0p001_opt_adagrad_dropout_0p7.csv,Arch A | LR 0.001 | Opt Adagrad | Drop 0.7
16,B,0.0001,Adam,0.7,0.572857141494751,0.25,1.6021472215652466,0.322857141494751,7,261.80543259199476,/workspace/TA/best_model/Tuning/tuning_histories/history_arch_B_lr_0p0001_opt_adam_dropout_0p7.csv,Arch B | LR 0.0001 | Opt Adam | Drop 0.7
